Language,1 person,2-4 people,5-9 people,10-14 people,15-20 people,20+ people
iOS,0.040624159268227066,0.4369114877589454,0.3282216841538875,0.1038471885929513,0.04735001345170837,0.04304546677428033
Objective-C,0.042846497764530554,0.44225037257824146,0.3204172876304024,0.10581222056631892,0.045827123695976156,0.042846497764530554
JavaScript,0.039462234597981205,0.4081970066132962,0.351374869474417,0.11464497041420119,0.04929516185172294,0.037025757048381486
PHP,0.06098043091520063,0.48033208143901956,0.3007511365882585,0.09181656453844633,0.03686499308163669,0.02925479343743823
SQL,0.038264618701158715,0.4042576125033684,0.3489625437887362,0.11673403395311237,0.05227701428186473,0.03950417677175963
WordPress,0.05885558583106267,0.5019073569482289,0.28283378746594007,0.09591280653950954,0.0340599455040872,0.026430517711171664
Android,0.04297677358192448,0.4460420287565176,0.31410965397377155,0.1049138884499921,0.05198293569284247,0.03997471954495181
Cordova,0.032624113475177303,0.451063829787234,0.3347517730496454,0.1,0.04893617021276596,0.032624113475177303
MongoDB,0.0337355331199212,0.40334892883526224,0.35188377246983504,0.12090618074365919,0.05023393252893376,0.03989165230238857
C#,0.03324468085106383,0.37202753441802255,0.36764705882352944,0.12578222778473092,0.05530350438047559,0.04599499374217772
Dart,0.06134969325153374,0.4049079754601227,0.27607361963190186,0.13496932515337423,0.06134969325153374,0.06134969325153374
Java,0.03540086271009966,0.3553473151866726,0.3639000446229362,0.13327383608508106,0.061356537260151715,0.050721404135058754
LAMP,0.05299927728258251,0.4801252710190316,0.293905083112503,0.099975909419417,0.03661768248614792,0.036376776680317996
SQL Server,0.029592946007971976,0.37939364657567337,0.3638120545959657,0.1265853363932842,0.05435439062688731,0.04626162580021742
Visual Basic,0.04679245283018868,0.4294339622641509,0.3158490566037736,0.10679245283018868,0.05584905660377359,0.045283018867924525
C++,0.04395434916718075,0.3770820481184454,0.3392967304133251,0.12677359654534237,0.05922270203578038,0.05367057371992597
Cloud,0.028788960266476326,0.3866285986200333,0.370687604092315,0.12039019747799191,0.04734713300023793,0.046157506542945516
Python,0.041254125412541254,0.39504950495049507,0.34631463146314634,0.12255225522552256,0.053245324532453245,0.041584158415841586
C,0.045120254422580004,0.396541443053071,0.3210097396143908,0.12383224011130987,0.06082289803220036,0.05267342476644802
AngularJS,0.03122166083689597,0.384764865915274,0.3689597098069698,0.12359113874854255,0.051431532581940664,0.04003109211037699
Spark,0.01658374792703151,0.3167495854063018,0.40630182421227196,0.13930348258706468,0.06467661691542288,0.05638474295190713
Go,0.036949685534591194,0.36242138364779874,0.37028301886792453,0.14072327044025157,0.05345911949685535,0.036163522012578615
Haskell,0.07128309572301425,0.3625254582484725,0.3564154786150713,0.1079429735234216,0.05295315682281059,0.048879837067209775
Node.js,0.03815715093273036,0.4053137365743358,0.35387224420576596,0.11475409836065574,0.046919163369135104,0.040983606557377046
Redis,0.03155893536121673,0.3927756653992395,0.3699619771863118,0.11977186311787072,0.042965779467680605,0.042965779467680605
Ruby,0.034015486725663714,0.4139933628318584,0.3548119469026549,0.11449115044247787,0.046460176991150445,0.03622787610619469
ReactJS,0.03574660633484163,0.3760180995475113,0.3918552036199095,0.11809954751131221,0.04524886877828054,0.0330316742081448
Arduino / Raspberry Pi,0.056783536585365856,0.4401676829268293,0.30640243902439024,0.1055640243902439,0.04725609756097561,0.04382621951219512
Swift,0.048187241854061494,0.44699403396053233,0.32905002294630564,0.09683340982101882,0.04222120238641579,0.036714089031665904
Perl,0.02800294767870302,0.3559322033898305,0.33971997052321296,0.14885777450257923,0.061164333087693444,0.06632277081798084
Cassandra,0.02533783783783784,0.28040540540540543,0.42736486486486486,0.16047297297297297,0.05405405405405406,0.052364864864864864
Salesforce,0.025,0.29833333333333334,0.4116666666666667,0.12333333333333334,0.06666666666666667,0.075
Scala,0.0218209179834462,0.31376975169300225,0.417607223476298,0.13167795334838225,0.05869074492099323,0.056433408577878104
CoffeeScript,0.042283298097251586,0.42917547568710357,0.37068357998590556,0.09725158562367865,0.03453136011275546,0.026074700493305146
Windows Phone,0.038680318543799774,0.38794084186575656,0.36860068259385664,0.10352673492605233,0.05915813424345848,0.04209328782707622
Hadoop,0.02237926972909305,0.2862190812720848,0.4075382803297998,0.15312131919905772,0.05771495877502945,0.07302709069493522
SharePoint,0.031496062992125984,0.37270341207349084,0.3556430446194226,0.12860892388451445,0.05511811023622047,0.05643044619422572
R,0.04653061224489796,0.37387755102040815,0.3485714285714286,0.12571428571428572,0.054693877551020405,0.05061224489795919
Clojure,0.05530973451327434,0.3561946902654867,0.3915929203539823,0.12389380530973451,0.046460176991150445,0.02654867256637168
Rust,0.08,0.36666666666666664,0.33666666666666667,0.12333333333333334,0.06333333333333334,0.03
Matlab,0.0441025641025641,0.41333333333333333,0.318974358974359,0.12512820512820513,0.055384615384615386,0.043076923076923075
F#,0.03636363636363636,0.33506493506493507,0.35324675324675325,0.12987012987012986,0.05974025974025974,0.08571428571428572
